sgRNA	gene	HeLa_T0_counts_rep1	HeLa_T0_counts_rep2	HeLa_T12_counts_rep1	HeLa_T12_counts_rep2
45183	random	366	373	1236	346
45184	random	762	580	2035	970
45185	random	880	743	3135	889
45186	random	607	551	2609	777
45187	random	413	440	1154	556
45188	random	649	581	1867	671
45189	random	348	314	1171	343
45190	random	486	421	1734	549
45191	random	239	185	955	220
45192	random	741	561	2507	855
45193	random	546	620	2313	595
45194	random	540	469	1555	645
45195	random	584	523	1936	637
45196	random	415	293	1404	389
45197	random	276	245	696	253
45198	random	483	526	1634	745
45199	random	272	234	916	544
45200	random	457	357	1555	477
45201	random	670	640	2091	759
45202	random	213	335	1054	391
45203	random	373	353	1157	767
45204	random	228	228	712	283
45205	random	120	137	492	206
45206	random	745	540	2116	797
45207	random	499	392	1301	478
45208	random	915	659	3149	618
45209	random	895	621	2769	831
45210	random	1188	898	3699	1177
45211	random	352	274	1216	523
45212	random	625	611	2034	713
45213	random	688	493	2149	682
45214	random	908	759	3445	753
45215	random	687	720	2656	1049
45216	random	723	506	2010	536
45217	random	570	451	2315	685
45218	random	573	367	1897	758
45219	random	488	371	1464	613
45220	random	440	435	1339	472
45221	random	879	737	2451	1044
45222	random	517	459	1471	631
45223	random	637	520	1866	681
45224	random	426	315	1157	383
45225	random	953	832	2496	974
45226	random	1226	860	3965	1128
45227	random	804	748	1799	902
45228	random	574	490	1896	488
45229	random	706	632	2984	981
45230	random	802	509	2497	590
45231	random	275	245	967	460
45232	random	242	250	710	255
45233	random	873	672	2894	924
45234	random	706	598	2280	743
45235	random	814	673	2645	833
45236	random	827	602	2487	928
45237	random	649	534	2126	816
45238	random	589	425	1498	541
45239	random	1485	1203	4726	1871
45240	random	816	957	3012	1436
45241	random	287	317	1067	382
45242	random	211	231	744	457
45243	random	782	658	2286	894
45244	random	619	361	2008	642
45245	random	313	205	1116	285
45246	random	296	239	1224	240
45247	random	662	565	2364	885
45248	random	860	535	2262	739
45249	random	655	526	1889	673
45250	random	773	692	2283	926
45251	random	519	477	1776	506
45252	random	758	565	2377	791
45253	random	801	735	2839	913
45254	random	716	641	2271	930
45255	random	712	591	2126	738
45256	random	395	341	1172	373
45257	random	662	529	1930	712
45258	random	686	553	2385	707
45259	random	602	412	1695	704
45260	random	419	345	1068	494
45261	random	293	260	704	398
45262	random	470	321	1286	370
45263	random	452	365	1679	460
45264	random	344	211	962	185
45265	random	570	470	1464	514
45266	random	365	267	992	382
45267	random	691	422	1796	442
45268	random	697	485	2277	699
45269	random	359	247	856	388
45270	random	401	439	1857	488
45271	random	480	436	1442	379
45272	random	360	290	1118	359
45273	random	768	687	2551	999
45274	random	536	358	1641	440
45275	random	946	798	2812	922
45276	random	483	383	1611	632
45277	random	659	631	1661	904
45278	random	441	292	1147	332
45279	random	226	262	631	391
45280	random	748	609	1815	641
45281	random	281	196	879	329
45282	random	467	356	1204	552
45283	random	362	233	1243	425
45284	random	438	352	1171	503
45285	random	486	329	1639	508
45286	random	573	460	1651	501
45287	random	579	383	1674	479
45288	random	331	321	789	331
45289	random	789	820	2132	1095
45290	random	854	674	3235	914
45291	random	611	478	2092	608
45292	random	651	796	2441	714
45293	random	517	413	1910	485
45294	random	605	446	1964	806
45295	random	474	418	1382	520
45296	random	607	440	1794	608
45297	random	789	801	3030	826
45298	random	505	448	1677	636
45299	random	677	629	2164	877
45300	random	451	385	1637	512
45301	random	371	310	1015	457
45302	random	863	702	2797	713
45303	random	816	604	2064	793
45304	random	352	310	1487	370
45305	random	631	556	2197	618
45306	random	349	338	1342	282
45307	random	616	471	2383	569
45308	random	777	685	2692	1018
45309	random	800	655	2541	1074
45310	random	320	373	1378	455
45311	random	711	502	2313	466
45312	random	883	524	2382	564
45313	random	802	662	2449	823
45314	random	395	416	1261	438
45315	random	304	293	922	315
45316	random	607	639	2394	705
45317	random	303	330	1254	466
45318	random	1354	1093	3930	1373
45319	random	418	286	1508	450
45320	random	835	701	2797	825
45321	random	642	608	1923	788
45322	random	804	645	2572	706
45323	random	567	501	1665	786
45324	random	408	322	1072	456
45325	random	511	361	1408	645
45326	random	756	708	2481	972
45327	random	547	461	2023	622
45328	random	645	589	2142	744
45329	random	153	209	414	189
45330	random	183	132	510	94
45331	random	544	291	1499	514
45332	random	978	955	3227	1529
45333	random	350	267	1114	310
45334	random	489	330	1684	536
45335	random	507	354	1780	484
45336	random	955	747	3150	949
45337	random	824	573	2765	674
45338	random	453	287	1503	230
45339	random	689	751	2425	1066
45340	random	1230	945	4018	1062
45341	random	471	372	1588	676
45342	random	910	692	3148	749
45343	random	396	299	1620	588
45344	random	649	481	2018	548
45345	random	238	258	562	169
45346	random	105	30	282	145
45347	random	719	562	1858	883
45348	random	1017	776	3256	1099
45349	random	369	339	1389	272
45350	random	461	327	1270	421
45351	random	471	336	1081	367
45352	random	738	645	2249	1027
45353	random	378	323	1504	346
45354	random	266	277	665	233
45355	random	792	645	2576	1010
45356	random	502	540	1935	756
45357	random	1027	728	2978	1066
45358	random	466	476	1502	500
45359	random	1152	1169	4450	1222
45360	random	153	136	574	194
45361	random	831	621	2395	1001
45362	random	672	447	1596	601
45363	random	617	471	2061	553
45364	random	478	344	1751	510
45365	random	668	651	2050	1156
45366	random	542	422	1682	638
45367	random	381	214	1600	321
45368	random	541	404	1433	620
45369	random	405	417	1429	457
45370	random	446	363	1597	416
45371	random	365	306	939	445
45372	random	391	348	895	599
45373	random	1184	823	3218	1179
45374	random	445	340	1204	424
45375	random	583	411	1913	393
45376	random	410	300	1306	376
45377	random	118	71	0	0
45378	random	264	236	841	197
45379	random	1117	1072	3650	1429
45380	random	207	197	783	195
45381	random	429	353	1055	553
45382	random	680	632	1817	808
45383	random	12	20	67	8
45384	random	1166	980	3872	1025
45385	random	334	254	972	335
45386	random	1073	693	3431	932
45387	random	849	717	2973	907
45388	random	706	515	2180	683
45389	random	577	412	1913	605
45390	random	722	510	2430	620
45391	random	866	806	2939	919
45392	random	658	561	2089	541
45393	random	285	251	898	304
45394	random	1201	1001	4354	1362
45395	random	1024	646	2877	1082
45396	random	515	473	1546	534
45397	random	97	110	384	191
45398	random	649	472	2629	787
45399	random	1012	929	3226	901
45400	random	20	11	63	79
45401	random	492	448	1878	622
45402	random	551	428	1700	611
45403	random	540	476	1687	801
45404	random	497	518	1811	579
45405	random	558	453	1969	437
45406	random	694	550	1722	670
45407	random	724	559	1961	820
56138	random	211	175	535	183
56139	random	793	537	2198	878
