Spacer	Gene	KBM7initialRep1	KBM7finalRep1	KBM7initialRep2	KBM7finalRep2	K562initial	K562final	Jiyoyeinitial	Jiyoyefinal	Rajiinitial	Rajifinal
CTRL00601	CTRL	674	340	791	421	558	844	153	162	369	130
CTRL00602	CTRL	446	591	296	286	275	498	57	117	244	55
CTRL00603	CTRL	1222	597	1424	599	961	2034	270	298	584	224
CTRL00604	CTRL	1526	1079	1299	871	860	1548	254	236	625	154
CTRL00605	CTRL	1646	1174	1604	1124	1394	2080	574	413	1029	326
CTRL00606	CTRL	1092	716	1064	639	980	1865	274	157	750	176
CTRL00607	CTRL	855	771	1302	714	952	1969	227	239	391	188
CTRL00608	CTRL	273	143	176	173	216	291	83	44	94	35
CTRL00609	CTRL	968	769	1161	595	846	1373	159	221	518	199
CTRL00610	CTRL	1357	1004	1010	1138	956	1525	223	278	696	175
CTRL00611	CTRL	1121	328	930	674	791	1689	241	187	556	89
CTRL00612	CTRL	1071	639	1140	1130	1021	1815	186	182	548	262
CTRL00613	CTRL	436	416	465	456	393	455	112	46	162	60
CTRL00614	CTRL	767	643	783	507	656	1015	160	139	395	87
CTRL00615	CTRL	545	246	391	380	313	456	61	135	279	87
CTRL00616	CTRL	580	356	306	271	354	337	132	202	294	109
