Guide	Counts
ACP5_19_c_11688105.26-all	914
ACP6_1_c_147142133.26-all	650
ACP6_1_c_147142134.23-all	1158
ACP6_1_c_147142135.24-all	1752
ACP6_1_w_147142126.25-all	829
ACPL2_3_c_140979050.24-all	585
ACPL2_3_w_140979025.27-all	663
ACPL2_3_w_140979031.27-all	790
ACPL2_3_w_140979052.28-all	323
ACPP_3_w_132036312.28-all	2303
ACPP_3_w_132036313.26-all	1843
ACPP_3_w_132036314.25-all	1092
ACPP_3_w_132036317.28-all	740
ACPT_19_w_51293675.28-all	181
ACPT_19_w_51293694.26-all	1228
ACPT_19_w_51293697.23-all	900
ACPT_19_w_51293698.28-all	851
ACRBP_12_c_6756157.25-all	656
ACRBP_12_c_6756170.26-all	540
ACRBP_12_c_6756522.27-all	299
ACRBP_12_w_6756489.28-all	938
ACRC_X_c_70800713.25-all	665
ACRC_X_w_70800695.27-all	1282
ACRC_X_w_70800696.26-all	788
